FMC,Calculo,ITP,Curriculo,Cursos,Leetcode,Leitura
3:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
0:00:00,0:00:00,10:54:53,0:00:00,0:00:00,0:00:00,0:00:00
0:00:00,0:20:00,2:04:17,2:01:24,0:00:00,0:00:00,0:00:00
0:00:00,6:25:00,4:37:00,0:00:00,0:00:00,0:00:00,0:00:00
0:00:00,0:00:00,5:00:00,0:00:00,0:00:00,0:00:00,0:00:00
0:00:00,0:00:00,0:00:00,4:00:00,0:00:00,0:00:00,0:00:00
0:00:00,0:00:00,0:00:00,6:00:00,0:00:00,0:00:00,0:00:00
