FMC,Calculo,ITP,Curriculo,Cursos,Leetcode,Leitura
0:00:04,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
